Combination,Remark,Count,RT_6M_After_Mean
201605-201610,Winner,20,0.146
201605-201610,Loser,18,0.13666666666666663
201605-201610,Winner - Loser,-,0.00933333333333336
201606-201611,Winner,20,0.36
201606-201611,Loser,20,0.1805
201606-201611,Winner - Loser,-,0.1795
201607-201612,Winner,20,0.2805
201607-201612,Loser,20,0.20350000000000001
201607-201612,Winner - Loser,-,0.07700000000000001
201608-201701,Winner,20,0.33049999999999996
201608-201701,Loser,20,0.1675
201608-201701,Winner - Loser,-,0.16299999999999995
201609-201702,Winner,20,0.534
201609-201702,Loser,20,0.119
201609-201702,Winner - Loser,-,0.41500000000000004
201610-201703,Winner,20,0.4685
201610-201703,Loser,20,0.041
201610-201703,Winner - Loser,-,0.42750000000000005
201611-201704,Winner,20,0.5955000000000001
201611-201704,Loser,19,0.07052631578947369
201611-201704,Winner - Loser,-,0.5249736842105265
201612-201705,Winner,20,0.568
201612-201705,Loser,20,-0.0034999999999999975
201612-201705,Winner - Loser,-,0.5714999999999999
201701-201706,Winner,20,0.33799999999999997
201701-201706,Loser,20,0.009999999999999998
201701-201706,Winner - Loser,-,0.32799999999999996
201702-201707,Winner,20,0.339
201702-201707,Loser,20,0.062
201702-201707,Winner - Loser,-,0.277
201703-201708,Winner,20,-0.0475
201703-201708,Loser,20,-0.028500000000000004
201703-201708,Winner - Loser,-,-0.018999999999999996
201704-201709,Winner,20,0.1045
201704-201709,Loser,20,0.046
201704-201709,Winner - Loser,-,0.058499999999999996
201705-201710,Winner,20,0.040999999999999995
201705-201710,Loser,20,0.026500000000000003
201705-201710,Winner - Loser,-,0.014499999999999992
201706-201711,Winner,20,0.27049999999999996
201706-201711,Loser,20,-0.034999999999999996
201706-201711,Winner - Loser,-,0.30549999999999994
201707-201712,Winner,20,0.17750000000000002
201707-201712,Loser,20,-0.0345
201707-201712,Winner - Loser,-,0.21200000000000002
